interview__key,num_prod,tipo_prod,cosecha_anual,u_cosecha_anual,otra_unid_c_anual,consum_humano,consum_animal,porc_humano,porc_animal,mercad_nac_min,mercad_nac_may,mercad_extra,por_nac_min,por_nac_may,por_extra,cosecha_estimada,u_cosecha_estimada,ha_cosecha_estimada,cosecha_final,u_cosecha_final,ha_cosecha_final,pro_c_perdida1,pro_c_perdida2,pro_c_perdida3,pro_c_perdida4,pro_c_perdida5,pro_c_perdida6,otro_pro_c_perdida
41-41-56-65,1,Mango manila,9600,4,kilogramos por hectarea,1,0,NA,NA,0,1,0,NA,NA,NA,12600,5,NA,12600,5,NA,NA,NA,NA,NA,NA,NA,
28-50-46-54,1,Mango manila,10,4,tonelada por hectarea,1,0,NA,NA,1,1,0,NA,NA,NA,60,2,10,100,2,10,1,0,0,0,0,0,
70-70-31-01,1,Mango manila,15,4,toneladas por hectarea,1,0,NA,NA,0,1,0,NA,NA,NA,20,2,NA,15,2,NA,1,0,0,0,0,0,
43-53-10-38,1,Mango manila,16,4,Toneladas por hectarea,1,0,NA,NA,0,1,0,NA,NA,NA,18,2,NA,15,2,NA,1,1,0,1,0,0,
16-98-04-24,1,Chayote,50,2,,1,0,NA,NA,0,1,1,NA,40,60,50,2,NA,55,3,55,1,0,0,0,0,0,
79-67-32-20,1,Limon,12,2,,1,0,NA,NA,0,0,1,NA,NA,NA,15,2,NA,12,2,NA,1,1,0,0,0,0,
09-70-90-32,1,Limon persa,20,2,,1,0,NA,NA,0,1,1,NA,20,80,20,3,20,20,3,20,1,0,0,0,0,0,
08-76-82-82,1,Ciruelo,2500,1,,1,0,NA,NA,1,0,0,NA,NA,NA,2500,1,NA,2500,1,NA,1,1,0,0,0,0,
09-77-80-56,1,Mango manila,12,2,,1,0,NA,NA,1,1,0,40,60,NA,84,2,12,12,2,12,1,0,0,0,0,0,
31-59-95-66,1,Chile serrano,400,3,,1,0,NA,NA,1,0,0,NA,NA,NA,800,4,NA,400,4,NA,1,0,0,0,0,0,
17-31-25-13,1,chile en conserva,500,1,,1,0,NA,NA,1,0,0,NA,NA,NA,500,1,NA,500,1,NA,0,0,0,0,1,0,
17-31-25-13,2,Frijol negro,625,1,,1,0,NA,NA,0,1,0,NA,NA,NA,25,2,NA,625,1,NA,1,0,0,0,0,0,
09-39-85-34,1,Pepino,400,4,cajas 8 toneladas,1,0,NA,NA,1,0,0,NA,NA,NA,8,2,NA,8,2,NA,0,0,0,0,1,0,
09-39-85-34,2,calabacita bola,6,2,,1,0,NA,NA,1,0,0,NA,NA,NA,7,2,NA,6,2,NA,0,0,0,0,1,0,
09-68-93-17,1,Mango manila,8,2,,1,0,NA,NA,0,1,0,NA,NA,NA,8,3,8,8,3,8,NA,NA,NA,NA,NA,NA,
76-56-81-14,1,Mango manila,6,2,,1,0,NA,NA,1,0,0,NA,NA,NA,24,3,10,10,3,10,1,0,0,0,0,0,
73-58-37-78,1,Mango manila,63,2,,1,0,NA,NA,0,1,0,NA,NA,NA,144,3,115,115,3,115,1,0,0,0,0,0,
73-58-37-78,2,Mango Tommy atkins,52,2,,1,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
51-30-77-57,1,Jitomate,14,2,,1,0,NA,NA,1,1,0,20,80,NA,14,2,NA,14,2,NA,1,0,0,0,0,0,
51-30-77-57,2,brocoli,6,2,,1,0,NA,NA,1,1,0,20,80,NA,6,2,NA,6,2,NA,1,0,0,0,0,0,
51-30-77-57,3,limon,6,2,,1,0,NA,NA,1,1,0,20,80,NA,6,2,NA,6,2,NA,1,0,0,0,0,0,
