interview__key,fecha,hora_acc,cve_entrevistador
97-99-81-42,10/11/2020,19:45:37,E050103
97-99-81-42,10/11/2020,19:45:37,E050103
97-99-81-42,10/11/2020,20:00:37,E050103
97-99-81-42,11/11/2020,06:32:31,E050103
97-99-81-42,11/11/2020,06:33:12,E050103
97-99-81-42,11/11/2020,06:33:12,E050103
97-99-81-42,14/11/2020,00:54:07,admin
25-86-07-95,11/11/2020,18:00:37,E050104
25-86-07-95,11/11/2020,18:00:37,E050104
25-86-07-95,11/11/2020,18:00:37,E050104
25-86-07-95,11/11/2020,18:00:37,E050104
25-86-07-95,11/11/2020,18:00:40,E050104
25-86-07-95,11/11/2020,18:07:51,E050104
25-86-07-95,11/11/2020,18:07:51,E050104
25-86-07-95,14/11/2020,23:27:24,admin
04-18-54-61,11/11/2020,22:39:32,E110104
04-18-54-61,11/11/2020,22:39:32,E110104
04-18-54-61,11/11/2020,22:39:32,E110104
04-18-54-61,11/11/2020,22:39:32,E110104
04-18-54-61,11/11/2020,22:39:33,E110104
04-18-54-61,11/11/2020,22:43:58,E110104
04-18-54-61,11/11/2020,22:44:01,E110104
04-18-54-61,11/11/2020,22:57:00,E110104
04-18-54-61,11/11/2020,22:57:18,E110104
04-18-54-61,11/11/2020,22:59:21,E110104
04-18-54-61,11/11/2020,23:00:36,E110104
04-18-54-61,11/11/2020,23:01:44,E110104
04-18-54-61,11/11/2020,23:02:07,E110104
04-18-54-61,11/11/2020,23:03:36,E110104
04-18-54-61,11/11/2020,23:03:47,E110104
04-18-54-61,11/11/2020,23:09:12,E110104
04-18-54-61,11/11/2020,23:09:12,E110104
04-18-54-61,11/11/2020,23:12:25,E110104
04-18-54-61,11/11/2020,23:12:25,E110104
04-18-54-61,11/11/2020,23:14:44,E110104
04-18-54-61,11/11/2020,23:14:44,E110104
04-18-54-61,11/11/2020,23:16:27,E110104
04-18-54-61,11/11/2020,23:17:18,E110104
04-18-54-61,11/11/2020,23:21:34,E110104
04-18-54-61,11/11/2020,23:21:34,E110104
04-18-54-61,11/11/2020,23:22:58,E110104
04-18-54-61,11/11/2020,23:27:47,E110104
04-18-54-61,11/11/2020,23:30:34,E110104
04-18-54-61,11/11/2020,23:30:50,E110104
04-18-54-61,11/11/2020,23:34:51,E110104
04-18-54-61,11/11/2020,23:35:02,E110104
