interview__key,fecha,hora_acc,cve_entrevistador
01-43-03-64,07/11/2020,18:30:31,E070504
01-43-03-64,07/11/2020,18:30:31,E070504
01-43-03-64,07/11/2020,18:30:59,E070504
01-43-03-64,07/11/2020,18:31:00,E070504
01-43-03-64,07/11/2020,18:33:47,E070504
01-43-03-64,07/11/2020,18:33:57,E070504
01-43-03-64,07/11/2020,18:48:57,E070504
01-43-03-64,07/11/2020,20:21:45,E070504
01-43-03-64,07/11/2020,20:22:19,E070504
01-43-03-64,07/11/2020,20:22:19,E070504
01-43-03-64,07/11/2020,20:22:30,E070504
01-43-03-64,07/11/2020,20:22:30,E070504
01-43-03-64,07/11/2020,20:22:34,E070504
01-43-03-64,07/11/2020,20:22:34,E070504
01-43-03-64,07/11/2020,20:22:42,E070504
01-43-03-64,07/11/2020,20:22:42,E070504
01-43-03-64,07/11/2020,20:22:46,E070504
01-43-03-64,07/11/2020,20:22:46,E070504
01-43-03-64,07/11/2020,20:22:57,E070504
01-43-03-64,07/11/2020,20:22:57,E070504
01-43-03-64,07/11/2020,20:25:16,E070504
01-43-03-64,07/11/2020,20:25:16,E070504
01-43-03-64,14/11/2020,23:27:24,admin
56-93-50-65,18/11/2020,17:51:02,E300109
56-93-50-65,18/11/2020,17:51:02,E300109
56-93-50-65,18/11/2020,17:51:02,E300109
56-93-50-65,18/11/2020,17:51:02,E300109
56-93-50-65,18/11/2020,17:51:05,E300109
56-93-50-65,18/11/2020,17:55:27,E300109
56-93-50-65,18/11/2020,17:55:57,E300109
56-93-50-65,18/11/2020,17:57:22,E300109
56-93-50-65,18/11/2020,17:57:37,E300109
56-93-50-65,18/11/2020,17:59:09,E300109
56-93-50-65,18/11/2020,18:00:39,E300109
56-93-50-65,18/11/2020,18:03:02,E300109
56-93-50-65,18/11/2020,18:03:22,E300109
56-93-50-65,18/11/2020,18:04:44,E300109
56-93-50-65,18/11/2020,18:10:28,E300109
56-93-50-65,18/11/2020,18:15:22,E300109
56-93-50-65,18/11/2020,18:15:28,E300109
56-93-50-65,18/11/2020,18:16:33,E300109
56-93-50-65,18/11/2020,18:26:25,E300109
56-93-50-65,18/11/2020,18:28:25,E300109
56-93-50-65,18/11/2020,18:30:03,E300109
56-93-50-65,18/11/2020,18:31:05,E300109
56-93-50-65,18/11/2020,18:45:40,E300109
56-93-50-65,18/11/2020,18:47:53,E300109
56-93-50-65,18/11/2020,18:47:53,E300109
56-93-50-65,18/11/2020,20:59:58,admin
46-20-50-93,18/11/2020,21:32:01,E140104
46-20-50-93,18/11/2020,21:32:01,E140104
46-20-50-93,18/11/2020,21:32:01,E140104
46-20-50-93,18/11/2020,21:32:01,E140104
46-20-50-93,18/11/2020,21:32:02,E140104
46-20-50-93,18/11/2020,21:33:05,E140104
46-20-50-93,18/11/2020,21:33:05,E140104
46-20-50-93,18/11/2020,21:33:17,E140104
46-20-50-93,18/11/2020,21:33:17,E140104
46-20-50-93,18/11/2020,21:34:52,E140104
46-20-50-93,18/11/2020,21:34:52,E140104
46-20-50-93,18/11/2020,21:48:00,E140104
46-20-50-93,18/11/2020,21:48:00,E140104
46-20-50-93,18/11/2020,23:14:37,admin
00-52-44-33,18/11/2020,20:02:39,E300109
00-52-44-33,18/11/2020,20:02:39,E300109
00-52-44-33,18/11/2020,20:02:39,E300109
00-52-44-33,18/11/2020,20:02:39,E300109
00-52-44-33,18/11/2020,20:02:40,E300109
00-52-44-33,18/11/2020,20:05:32,E300109
00-52-44-33,18/11/2020,20:05:55,E300109
00-52-44-33,18/11/2020,20:16:22,E300109
00-52-44-33,18/11/2020,20:17:46,E300109
