interview__key,num_prod,Productos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos
65-34-10-09,1,Pollo,300,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
28-53-41-62,1,Carne de res,100,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
28-53-41-62,2,Carne de puerco,100,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
28-53-41-62,3,Pollo,100,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
90-38-57-12,1,Jitomate,200,1,,30,1,,600,Vienen aplastados,20,1,,11,lo consumen entre ellos,#NULL!,#NULL!,
90-38-57-12,2,Cebolla,80,1,,5,1,,100,Viene maltratado,3,1,,11,lo consumen entre ellos,#NULL!,#NULL!,
90-38-57-12,3,Limón,100,1,,15,1,,300,No se vendió a tiempo,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
90-38-57-12,4,Pollo,600,1,,6,1,,350,Venía maltratado,3,1,,9,,#NULL!,#NULL!,
90-38-57-12,5,Lechuga,120,1,,20,1,,300,No se vendió rápido,6,1,,11,Lo consumen entre ellos,#NULL!,#NULL!,
90-38-57-12,6,Tomate,160,1,,20,1,,400,Se maltratan rápido,10,1,,11,Lo comsumen entre ellos,#NULL!,#NULL!,
90-38-57-12,7,Piña,120,1,,20,1,,500,Se maltrata rápido,5,1,,11,Lo consumen entre ellos,#NULL!,#NULL!,
90-38-57-12,8,Aguacate,40,1,,4,1,,200,Se madura muy rápido,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
90-38-57-12,9,Zanahoria,100,1,,10,1,,200,Se maltrata rápido,8,1,,11,Lo consumen entre ellos,#NULL!,#NULL!,
90-38-57-12,10,Manzana,80,1,,10,1,,500,Se maltrata rápido,7,1,,6,,#NULL!,#NULL!,
39-37-47-76,1,Arroz,90,1,,3,1,,2,mal uso,3,1,,1,,3,1,
39-37-47-76,2,Atún,50,5,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
39-37-47-76,3,Zanahoria,20,1,,2,1,,3,se echa a perder,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
39-37-47-76,5,Cangrejos,60,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
39-37-47-76,6,Camarón,95,1,,4,1,,4,la caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
39-37-47-76,7,Salmon,45,1,,1,1,,1,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
39-37-47-76,8,Aguacate,40,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
39-37-47-76,9,Queso Philadelphia,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
39-37-47-76,10,Pepino,40,1,,4,1,,4,mal uso,3,1,,1,,3,1,
39-37-47-76,12,Alga,5,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
57-77-12-52,1,Carne,42,1,,1,1,,100,No sé vendía,1,1,,9,,#NULL!,#NULL!,
57-77-12-52,2,Verdura,100,1,,2,1,,80,Salía fea la verdura o no la ocupaba toda el mismo día,2,1,,8,,#NULL!,#NULL!,
57-77-12-52,3,Tortillas,90,1,,11,1,,150,Ya no servían para la cocina al siguiente día,11,1,,6,,#NULL!,#NULL!,
57-77-12-52,4,Pan,50,6,Piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
57-77-12-52,5,Huevo,45,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-65-61-05,1,Café,1290,6,Taza (240 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-65-61-05,2,"Desayuno (básico, huevo)",774,6,Platillos,500,6,,0,"Compras exageradas para un establecimiento chico,  se descomponga en el refrigerador.",25,1,,11,Al reciclaje que hace la CESPT que es quien quita la trampa de grasa,#NULL!,#NULL!,
18-65-61-05,3,"Comidas (básicas, carnes)",400,6,Platillos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-65-61-05,4,Pastelitos,300,6,Pieza,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-65-61-05,5,Crepas,50,6,Pieza,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-65-61-05,6,Helado empanizado,120,6,Pieza,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-44-10-01,1,Embutidos,200,1,,10,1,,200,depreciación de producto,10,1,,10,,#NULL!,#NULL!,
12-44-10-01,2,Refrescos,60,6,cajas,1,6,caja,200,producto maltratado,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-44-10-01,3,Productos lácteos,300,3,,20,3,,400,no se vende,20,3,,11,devolucion,#NULL!,#NULL!,
67-30-78-63,1,Verdura,500,1,,6,1,,150,Maduración del producto,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
67-30-78-63,2,Fruta,800,1,,3,1,,60,No sé consumen,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
67-30-78-63,3,Semillas,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
75-34-53-64,1,Carne,50,1,,5,1,,500,No sé vendía a tiempo,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
75-34-53-64,2,Pollo,20,1,,2,1,,150,No sé vendía a tiempo,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
75-34-53-64,3,Pan,100,6,Cajas (80 panes),50,6,piezas,100,Se hacía duro y ya no servía,50,6,piezas,6,,#NULL!,#NULL!,
75-34-53-64,4,Verduras,1000,1,,25,1,,600,Se hacían feas o en algunos casos se echaban a perder,10,1,,8,,#NULL!,#NULL!,
25-82-54-91,1,Pollo,50,1,,3,1,,200,no se me logro vender,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
25-82-54-91,2,Jitomate,10,1,,2,1,,50,se echo a perder por que no se logro vender,250,6,gramos,6,,#NULL!,#NULL!,
25-82-54-91,3,Cebolla,20,1,,1,1,,20,se echo a perder,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
25-82-54-91,4,Papaya,30,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
25-82-54-91,5,Tomate,10,1,,1,1,,20,se echo a perder,1,1,,6,,#NULL!,#NULL!,
25-82-54-91,6,Naranja,50,1,,5,1,,70,se echo a perder por que no se vemdio,3,1,,6,,#NULL!,#NULL!,
28-48-29-67,1,Frutas,1,2,,200,1,,10000,el covid,50,1,,3,,50,1,
28-48-29-67,2,Legumbres,100,1,,30,1,,2000,bajas ventas por covid,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
95-11-63-53,1,Carne de cerdo,1100,1,,200,1,,20000,no se vendio,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
02-71-90-62,1,Pollo,25,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
02-71-90-62,2,Carne,4,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
02-71-90-62,3,Verduras,10,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
02-71-90-62,4,Papa,30,1,,1,1,,20,Se echa a perder porque no la ocupo y no se vende,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
48-02-88-02,2,Aguacate,1,6,caja,4,1,,160,no sé vende,3,1,,7,,#NULL!,#NULL!,
82-13-03-48,1,Twinky,6,6,paquetes,1,6,paquetes,11,no se vendió,1,6,paquete,11,se lo cambio el proveedor,#NULL!,#NULL!,
94-57-53-84,2,Guisados,550,6,porciones (platos),5,6,porciones,225,no se vendió,5,6,porciones,7,,#NULL!,#NULL!,
94-57-53-84,3,Sopas,5670,3,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
94-57-53-84,4,Agua,1800,3,,30,3,,300,no se vendió,30,3,,4,,#NULL!,#NULL!,
38-07-51-46,1,Herbolaria,1000,1,,100,1,,5000,Caducidad de las hiervas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
33-51-68-65,1,Tomate,15,6,cajas,1,6,caja,200,Sale mala,1,6,caja,7,,#NULL!,#NULL!,
33-51-68-65,2,Jitomate,20,6,caja,1,6,caja,2000,no sale bueno,1,6,caja,7,,#NULL!,#NULL!,
56-77-58-08,1,Tomate,240,1,,2,1,,35,"mermas que no se necesitan, por ejemplo la cáscara",0,#NULL!,,#NULL!,,#NULL!,#NULL!,
56-77-58-08,2,Pollo,120,1,,5,1,,390,es merma del pollo (grasa),0,#NULL!,,#NULL!,,#NULL!,#NULL!,
56-77-58-08,3,Tortilla,180,1,,3,1,,39,por manejo de producto,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
56-77-58-08,4,Cebolla,100,1,,5,1,,70,la cáscara y rabo de la cebolla no se utiliza,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
84-19-37-50,1,Leche,200,3,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
84-19-37-50,2,Huevo,2600,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
84-19-37-50,3,Pan,6600,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
84-19-37-50,4,Carne arrachera,40,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
84-19-37-50,5,Pollo,240,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
84-19-37-50,6,Jamón,40,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
84-19-37-50,7,Salchichas,60,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
84-19-37-50,8,Naranja,560,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
84-19-37-50,9,Zanahoria,480,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
84-19-37-50,10,Queso,700,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
84-19-37-50,11,Papaya,350,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
07-37-94-62,1,Pollo,360,1,,20,1,,1580,merma del pollo (grasa) y sobrantes de eventos,15,1,,3,,15,1,
07-37-94-62,2,Tomate,60,1,,2,1,,28,merma de cáscara,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
07-37-94-62,3,Lechuga romana,30,6,pza,5,6,pza,75,merma (producto quemado por la conservación adeudada),0,#NULL!,,#NULL!,,#NULL!,#NULL!,
07-37-94-62,4,Papa,120,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-33-58-27,1,Coca Cola,10,6,Rejilla,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-33-58-27,2,Tortillas,50,1,,5,1,,120,No se vende,5,1,,9,,#NULL!,#NULL!,
26-33-58-27,3,Cerveza,20,6,cartones,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-33-58-27,4,Frituras,150,6,paquete,5,6,bolsita,60,no se vende,5,6,bolsitas,9,,#NULL!,#NULL!,
26-95-82-33,1,Papas,20,6,cajas,1,6,caja,500,mal manejo,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,2,Lechuga,6,6,cajas,10,1,,100,mal manejo,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,3,Tomate,4,6,caja,30,6,pieza,100,mal manejo,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,4,Cebolla,3,6,cajas,1,1,,60,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,5,Carnes de res,23,6,cajas,200,6,piezas,700,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,6,Tocino,3,6,cajas,100,6,piezas,150,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,7,Salchichas,1,6,caja,40,6,piezas,250,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,8,Pan,65,6,caja,60,6,piezas,200,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,9,Agua embotellada,4,6,cajas,10,6,piezas,60,desperdicio,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,10,Queso amarillo,2,6,cajas,80,6,piezas,120,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
20-09-40-61,1,Pollo,540,1,,3,1,,162,No hay ventas,2.5,1,,9,,#NULL!,#NULL!,
20-09-40-61,2,Jitomate,180,1,,10,1,,120,Por falta de venta y putrefacción del producto,8,1,,11,El jitomate que aún sirve lo hace puré para refrigerar y una parte es para uso personal y otra para regalar,#NULL!,#NULL!,
40-31-16-96,1,"Pollo, huevo, verduras",10000,6,Unidades,600,1,,10000,Producto perecedero,300,1,,6,,#NULL!,#NULL!,
91-51-53-80,1,Pierna c/ muslo,800,1,,120,1,,1200,merma,10,1,,9,,#NULL!,#NULL!,
