interview__key,num_prod,Productos,Productos_genericos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos,per_ocupado,per_ocupado2
65-87-03-22,1,Jitomate,Jitomate,300,1,,6,1,,350,"producto maltratado, caducidad",2,1,,8,,#NULL!,#NULL!,,1,0 a 5 personas
65-87-03-22,2,Zanahoria,Zanahoria,240,1,,8,1,,200,"no se vendió, caducidad",3,1,,8,,#NULL!,#NULL!,,1,0 a 5 personas
65-87-03-22,3,Cebolla,Cebolla,200,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
65-87-03-22,4,Calabaza,Calabaza,130,1,,9,1,,250,producto maltratado,2,1,,8,,#NULL!,#NULL!,,1,0 a 5 personas
65-87-03-22,5,Chayote,Chayote,180,1,,6,1,,150,caducidad,2,1,,8,,#NULL!,#NULL!,,1,0 a 5 personas
74-47-57-78,1,"Carnes frías, lácteos, croquetas","Carnes frías, lácteos, croquetas",4000,1,,300,1,,100000,Perecederos,120,1,NA,9,,#NULL!,#NULL!,,1,0 a 5 personas
51-20-82-41,1,"Lácteos, y carnes frías","Lácteos, y carnes frías",100,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
30-10-52-13,1,Tortillas,Tortillas,2400,1,,100,1,,1500,"ventas bajas, poca demanda",10,1,,6,,#NULL!,#NULL!,,1,0 a 5 personas
30-10-52-13,2,Totopos,Totopos,45,1,,5,1,,60,"pocas ventas, baja demanda",0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
11-37-90-44,2,Jitomate,Jitomate,3750,1,,105,1,,1050,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
11-37-90-44,3,Tomate,Tomate,150,1,,105,1,,840,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
42-75-91-86,1,Galletas,Galletas,15,6,cajas,1,6,caja,200,caducan,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
42-75-91-86,2,Refrescos,Refrescos,10,6,cajones,1,6,cajon,150,mal estado,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
89-85-78-54,1,Tortilla 100%,Tortillas,8000,1,,500,1,,7000,Porque no se vendió,-999999999,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
04-34-19-99,1,Carne de res,Carne de res,33800,1,,4680,1,,18720,No venta,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-63-62-43,1,Naranjas,Naranjas,1150,1,,360,1,,2880,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-63-62-43,2,Mandarinas,Mandarinas,12000,1,,1260,1,,12600,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-63-62-43,3,Piña,Piña,168,6,Pieza,30,6,pieza,5040,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
09-34-53-08,1,Refrescos,Refrescos,50,6,caja,1,6,caja,100,malas condiciones,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
09-34-53-08,2,Cerveza,Cerveza,65,6,cartón,1,6,cartón,450,malas condiciones,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
09-34-53-08,3,Frituras,Frituras,150,6,bolsitas,5,6,bolsitas,50,no se vende,5,6,bolsitas,9,,#NULL!,#NULL!,,1,0 a 5 personas
20-05-46-45,1,Leche,Lácteos,12800,3,,35,3,,385,bolsas de leche rotas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
08-65-81-31,1,Mandarina,Mandarina,15,2,,750,1,,260,venta,750,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
08-65-81-31,2,Plátano,Plátano,260,1,,30,1,,1560,Venta y Descomposición del producto,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
08-65-81-31,3,Durazno,Durazno,720,1,,2,1,,480,Descomposición del producto,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-14-01-21,1,Fresas,Fresas,50,2,,5,2,,4500,se hechan a perder,2,2,,9,,#NULL!,#NULL!,,1,0 a 5 personas
72-04-49-69,1,Legumbres,Legumbres,500,1,,30,1,,700,Se hecha a perder rápido y ya no se puede vender,10,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
72-04-49-69,2,Hiervas,Hiervas,200,1,,10,1,,250,Se pudre con el tiempo o se deshidrata y ya no se vende,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-04-49-69,3,Frutas,Frutas,500,1,,30,1,,1000,se hecha a perder muy rápido,10,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
07-16-71-47,1,Jitomate,Jitomate,372,1,,120,1,,1920,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
07-16-71-47,2,Aguacate,Aguacate,120,1,,3,1,,150,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
07-16-71-47,3,Cilantro,Cilantro,200,6,gramos,100,6,gramos,50,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
07-58-58-23,1,Bistec res,Carne de res,500,1,,30,1,,700,limpieza de carne,15,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
07-58-58-23,2,Bistec cerdo,Carne de cerdo,100,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
78-29-84-61,1,Bistec,Bistec,550,1,,105,1,,400,selección de la carne,105,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
